mode,query_type,n_queries,avg_returned_equipment,strict_top1_accuracy,relaxed_top1_accuracy,strict_top3_accuracy,relaxed_top3_accuracy,strict_found_anywhere,relaxed_found_anywhere,mean_ndcg_at_3,mean_ndcg_at_5
decomposition_no_rerank_12papers_2workers,broad_diagnostic,5,8.8,0.2,0.2,0.6,0.6,0.6,0.6,0.3072637088052015,0.2750476109047909
decomposition_no_rerank_12papers_2workers,method_selection,4,4.75,0.5,0.5,0.5,0.5,0.75,0.75,0.25139931751219097,0.18169296711086577
decomposition_no_rerank_12papers_2workers,specific,5,2.8,0.6,0.8,0.6,0.8,0.6,0.8,0.6007246065745775,0.5229467275811495
decomposition_rerank_10papers_2workers,broad_diagnostic,5,8.4,0.2,0.6,0.4,0.8,0.6,0.8,0.4151634649707784,0.3467329258248634
decomposition_rerank_10papers_2workers,method_selection,5,5.4,0.4,0.4,0.4,0.4,0.4,0.4,0.20111945400975278,0.1745680436572339
decomposition_rerank_10papers_2workers,specific,5,3.2,0.4,0.4,0.6,0.6,0.6,0.6,0.27857652133069705,0.2988806087638705
direct_no_rerank_12papers,broad_diagnostic,5,2.4,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.14454531452899033
direct_no_rerank_12papers,method_selection,5,2.8,0.4,0.4,0.4,0.4,0.4,0.4,0.3023152283750046,0.2184912488618429
direct_no_rerank_12papers,specific,5,2.2,0.6,0.6,0.6,0.8,0.6,0.8,0.4297635996558366,0.37351176545315457
direct_rerank_10papers,broad_diagnostic,5,2.2,0.4,0.4,0.6,0.6,0.6,0.6,0.35307212739772437,0.26769475280285104
direct_rerank_10papers,method_selection,5,2.2,0.4,0.4,0.6,0.6,0.6,0.6,0.24309884618183153,0.17569399591493742
direct_rerank_10papers,specific,5,1.8,0.6,0.6,0.6,0.6,0.6,0.6,0.5307838764260533,0.44460191147709216
direct_rerank_10papers_3workers,broad_diagnostic,4,3.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5432992037642228,0.4671918550761067
direct_rerank_10papers_3workers,method_selection,5,2.2,0.6,0.6,0.8,0.8,0.8,0.8,0.34924310097728023,0.25240726938920455
direct_rerank_10papers_3workers,specific,5,2.6,0.8,0.8,0.8,0.8,0.8,0.8,0.5336588318059343,0.44393078801662195
test_problem_answer_output,broad_diagnostic,46,3.8297872340425534,0.425531914893617,0.425531914893617,0.5957446808510638,0.6382978723404256,0.6382978723404256,0.6595744680851063,0.3260426499982708,0.24741247377270723
test_problem_answer_output,method_selection,75,3.3333333333333335,0.5066666666666667,0.5466666666666666,0.6533333333333333,0.7066666666666667,0.6533333333333333,0.7066666666666667,0.36038020808483595,0.2725161056195946
test_problem_answer_output,process_optimization,21,3.5714285714285716,0.42857142857142855,0.42857142857142855,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.32603691580434657,0.24778853644812995
test_problem_answer_output,specific,421,2.7011494252873565,0.6068965517241379,0.6344827586206897,0.6988505747126437,0.7195402298850575,0.7034482758620689,0.7241379310344828,0.3770106722436929,0.31040315493893494
