mode,query_type,n_queries,avg_papers_attempted,avg_full_text_success,avg_fallback_used,avg_pdf_used,avg_html_used,avg_abstract_fallback_used,avg_metadata_fallback_used,mean_full_text_fraction,mean_fallback_fraction
decomposition_no_rerank_12papers_2workers,broad_diagnostic,5,32.8,8.6,24.2,7.0,0.0,16.6,3.6,0.24979676506040982,0.7502032349395902
decomposition_no_rerank_12papers_2workers,method_selection,4,20.75,3.75,17.0,3.25,0.0,12.75,1.5,0.1268939393939394,0.8731060606060607
decomposition_no_rerank_12papers_2workers,specific,5,12.8,3.0,9.8,2.4,0.0,7.6,2.0,0.25072463768115943,0.7492753623188406
decomposition_rerank_10papers_2workers,broad_diagnostic,5,28.0,9.8,18.2,7.6,0.0,16.6,0.0,0.365,0.635
decomposition_rerank_10papers_2workers,method_selection,5,24.0,4.4,19.6,3.2,0.0,17.0,0.8,0.146,0.8539999999999999
decomposition_rerank_10papers_2workers,specific,5,14.0,4.2,9.8,3.2,0.0,9.4,0.2,0.38,0.6199999999999999
direct_no_rerank_12papers,broad_diagnostic,5,11.8,2.8,9.0,1.6,0.0,5.4,2.2,0.2363636363636364,0.7636363636363637
direct_no_rerank_12papers,method_selection,5,12.0,1.8,10.2,1.2,0.0,7.2,2.2,0.15,0.85
direct_no_rerank_12papers,specific,5,11.0,2.4,8.6,2.0,0.0,5.6,2.4,0.21818181818181817,0.7818181818181819
direct_rerank_10papers,broad_diagnostic,5,10.0,1.4,8.6,1.2,0.0,7.6,0.2,0.13999999999999999,0.86
direct_rerank_10papers,method_selection,5,10.0,2.0,8.0,1.8,0.0,7.0,0.0,0.2,0.8
direct_rerank_10papers,specific,5,10.0,3.0,7.0,2.0,0.0,6.2,0.8,0.3,0.7
direct_rerank_10papers_3workers,broad_diagnostic,4,10.0,2.25,7.75,2.0,0.0,6.75,0.25,0.225,0.775
direct_rerank_10papers_3workers,method_selection,5,10.0,1.6,8.4,1.4,0.0,7.2,0.4,0.16,0.8400000000000001
direct_rerank_10papers_3workers,specific,5,10.0,3.0,7.0,2.4,0.0,6.2,0.4,0.3,0.7
test_problem_answer_output,broad_diagnostic,46,10.0,3.0638297872340425,6.9361702127659575,2.5319148936170213,0.0,6.638297872340425,0.1276595744680851,0.30638297872340425,0.6936170212765957
test_problem_answer_output,method_selection,75,10.0,2.6666666666666665,7.333333333333333,2.28,0.0,6.546666666666667,0.26666666666666666,0.26666666666666666,0.7333333333333333
test_problem_answer_output,process_optimization,21,10.0,3.0,7.0,2.4285714285714284,0.0,6.761904761904762,0.047619047619047616,0.3,0.7
test_problem_answer_output,specific,421,10.0,2.6666666666666665,7.3310344827586205,2.328735632183908,0.0,6.31264367816092,0.48735632183908045,0.26666666666666666,0.733103448275862
